Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Czechia,Solar photovoltaic,Electricity capacity (MW),0.10,0.10,0.20,0.30,0.40,0.59,0.84,3.96,39.50,464.60,1727.00,1913.00,2022.00,2063.50,2067.40,2074.90,2067.90,2069.50,2075.07,2086.42,2122.71,2119.21,
Czechia,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Czechia,Bioenergy,Electricity capacity (MW),94.49,94.49,94.49,94.50,129.50,139.50,177.50,227.50,285.50,351.50,410.50,504.50,652.50,689.50,744.50,770.50,772.50,801.50,781.50,829.50,845.50,845.50,
Czechia,Solid biofuels,Electricity capacity (MW),69.50,69.50,69.50,69.50,104.50,103.50,134.50,177.50,214.50,255.50,292.50,327.50,352.50,328.50,377.50,402.50,403.50,429.50,412.50,461.50,479.50,479.50,
Czechia,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Czechia,Renewable municipal waste,Electricity capacity (MW),1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,21.50,21.50,22.50,22.50,22.50,22.50,27.50,27.50,27.50,27.50,27.50,27.50,
Czechia,Other solid biofuels,Electricity capacity (MW),68.00,68.00,68.00,68.00,103.00,102.00,133.00,176.00,213.00,254.00,271.00,306.00,330.00,306.00,355.00,380.00,376.00,402.00,385.00,434.00,452.00,452.00,
Czechia,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Czechia,Biogas,Electricity capacity (MW),24.99,24.99,24.99,25.00,25.00,36.00,43.00,50.00,71.00,96.00,118.00,177.00,300.00,361.00,367.00,368.00,369.00,372.00,369.00,368.00,366.00,366.00,
Czechia,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Denmark,Total renewable energy,Electricity capacity (MW),2643.02,2809.65,3310.53,3644.42,3829.71,3943.84,3813.20,3644.71,3953.37,4434.80,4915.98,5123.60,5949.12,6583.60,6749.77,7109.40,7409.93,8193.72,8894.45,8981.47,9356.51,10339.62,
Denmark,Hydropower,Electricity capacity (MW),10.00,11.00,11.00,11.00,11.00,11.00,9.00,9.00,9.00,9.00,9.20,9.26,9.26,8.73,8.62,6.88,9.27,7.15,7.15,7.26,7.26,7.26,
Denmark,Renewable hydropower,Electricity capacity (MW),10.00,11.00,11.00,11.00,11.00,11.00,9.00,9.00,9.00,9.00,9.20,9.26,9.26,8.73,8.62,6.88,9.27,7.15,7.15,7.26,7.26,7.26,
Denmark,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Denmark,Marine,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.20,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Denmark,Wind,Electricity capacity (MW),2390.02,2497.15,2894.53,3119.92,3123.71,3127.84,3135.70,3124.21,3162.87,3482.09,3801.83,3951.98,4161.94,4818.92,4886.40,5076.97,5245.14,5488.95,6115.05,6102.94,6259.46,7013.57,
Denmark,Onshore wind energy,Electricity capacity (MW),2340.07,2447.20,2680.58,2696.57,2700.36,2704.49,2712.35,2700.86,2739.52,2821.24,2933.98,3080.53,3240.09,3547.87,3615.35,3805.92,3974.09,4225.15,4414.25,4402.14,4558.66,4707.77,
Denmark,Offshore wind energy,Electricity capacity (MW),49.95,49.95,213.95,423.35,423.35,423.35,423.35,423.35,423.35,660.85,867.85,871.45,921.85,1271.05,1271.05,1271.05,1271.05,1263.80,1700.80,1700.80,1700.80,2305.80,
Denmark,Solar,Electricity capacity (MW),1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,5.00,7.00,17.00,402.00,571.00,607.00,782.11,850.95,906.35,998.00,1080.00,1304.29,1540.29,
Denmark,Solar photovoltaic,Electricity capacity (MW),1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,5.00,7.00,17.00,402.00,571.00,607.00,782.11,850.95,906.35,998.00,1080.00,1304.29,1540.29,
Denmark,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
