COUNTRY,Country,PRODUCT,Product,TIME,Time,Value,Flag Codes,Flags
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2016,2016,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2017,2017,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2018,2018,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2001,2001,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2002,2002,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2003,2003,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2004,2004,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2005,2005,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2006,2006,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2007,2007,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2008,2008,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2009,2009,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2010,2010,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2011,2011,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2012,2012,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2013,2013,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2014,2014,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2015,2015,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2016,2016,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2017,2017,0,,
CHE,Switzerland,BIODIESEL,Biodiesels,2018,2018,0,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2017,2017,1161,,
CHE,Switzerland,HYDPURE,Pure Hydro,2001,2001,3642,,
CHE,Switzerland,HYDPURE,Pure Hydro,2002,2002,3653,,
CHE,Switzerland,HYDPURE,Pure Hydro,2003,2003,3669,,
CHE,Switzerland,HYDPURE,Pure Hydro,2004,2004,3650,,
CHE,Switzerland,HYDPURE,Pure Hydro,2005,2005,3682,,
CHE,Switzerland,HYDPURE,Pure Hydro,2006,2006,3694,,
CHE,Switzerland,HYDPURE,Pure Hydro,2007,2007,3700,,
CHE,Switzerland,HYDPURE,Pure Hydro,2008,2008,3709,,
CHE,Switzerland,HYDPURE,Pure Hydro,2009,2009,3749,,
CHE,Switzerland,HYDPURE,Pure Hydro,2010,2010,3810,,
CHE,Switzerland,HYDPURE,Pure Hydro,2011,2011,3852,,
CHE,Switzerland,HYDPURE,Pure Hydro,2012,2012,3882,,
CHE,Switzerland,HYDPURE,Pure Hydro,2013,2013,3896,,
CHE,Switzerland,HYDPURE,Pure Hydro,2014,2014,3948,,
CHE,Switzerland,HYDPURE,Pure Hydro,2015,2015,3996,,
CHE,Switzerland,HYDPURE,Pure Hydro,2016,2016,4060,,
CHE,Switzerland,HYDPURE,Pure Hydro,2017,2017,4112.2,,
CHE,Switzerland,HYDPURE,Pure Hydro,2018,2018,4193.76,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2001,2001,3642,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2002,2002,3653,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2003,2003,3669,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2004,2004,3650,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2005,2005,3682,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2006,2006,3694,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2007,2007,3700,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2008,2008,3709,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2009,2009,3749,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2010,2010,3810,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2011,2011,3852,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2012,2012,3882,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2013,2013,3896,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2014,2014,3948,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2015,2015,3996,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2016,2016,4060,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2017,2017,4112.2,,
CHE,Switzerland,HYDPURER,of which: run-of-river,2018,2018,4193.76,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2001,2001,9326,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2002,2002,9326,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2003,2003,9326,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2004,2004,9351,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2005,2005,9358,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2006,2006,9345,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2007,2007,9449,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2008,2008,9450,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2009,2009,9457,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2010,2010,9457,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2011,2011,9462,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2012,2012,9465,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2013,2013,9465,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2014,2014,9340,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2015,2015,9350,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2016,2016,10219,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2017,2017,10714.2,,
CHE,Switzerland,HYDMIXED,Mixed Hydro,2018,2018,10785.7,,
CHE,Switzerland,WINDOFF,Offshore wind,2001,2001,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2002,2002,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2003,2003,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2004,2004,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2005,2005,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2006,2006,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2007,2007,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2008,2008,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2009,2009,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2010,2010,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2011,2011,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2012,2012,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2013,2013,0,,
CHE,Switzerland,WINDOFF,Offshore wind,2014,2014,0,,
