Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,Wind,Electricity generation (GWh),4241.00,4306.00,4877.00,5561.00,6583.00,6614.00,6108.00,7171.00,6928.00,6721.00,7809.42,9774.18,10269.94,11123.27,13078.50,14133.09,12781.73,14780.00,13901.96,16149.83,,
Denmark,Onshore wind energy,Electricity generation (GWh),4152.27,4218.09,4521.18,4811.71,5687.70,5721.42,5283.86,6200.00,6001.52,5445.22,6026.52,7620.01,7995.41,8184.12,7913.08,9300.41,8131.70,9600.23,9271.82,9952.26,,
Denmark,Offshore wind energy,Electricity generation (GWh),88.73,87.91,355.82,749.29,895.30,892.58,824.14,971.00,926.48,1275.78,1782.90,2154.18,2274.53,2939.15,5165.43,4832.69,4650.03,5179.77,4630.14,6197.57,,
Denmark,Solar,Electricity generation (GWh),1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,6.03,14.94,103.86,517.54,595.52,604.26,743.78,751.49,952.97,963.27,,
Denmark,Solar photovoltaic,Electricity generation (GWh),1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,6.03,14.94,103.86,517.54,595.52,604.26,743.78,751.49,952.97,963.27,,
Denmark,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Denmark,Bioenergy,Electricity generation (GWh),1300.00,1511.00,1879.00,2494.00,2907.00,3173.00,3068.00,3104.00,3139.00,3319.00,4593.09,4374.86,4445.95,4313.50,4294.56,4181.67,4845.24,6248.55,5891.32,5952.53,,
Denmark,Solid biofuels,Electricity generation (GWh),1091.00,1290.00,1639.00,2218.00,2626.00,2892.00,2784.00,2800.00,2848.00,2956.00,4236.76,4028.91,4068.39,3930.41,3843.72,3714.87,4344.06,5680.58,5277.34,5316.77,,
Denmark,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Denmark,Renewable municipal waste,Electricity generation (GWh),680.00,722.00,761.00,817.00,792.00,998.00,1006.00,972.00,1045.00,969.00,912.90,951.22,892.09,873.95,885.11,918.70,860.85,883.62,860.70,963.95,,
Denmark,Other solid biofuels,Electricity generation (GWh),411.00,568.00,878.00,1401.00,1834.00,1894.00,1778.00,1828.00,1803.00,1987.00,3323.86,3077.70,3176.31,3056.46,2958.61,2796.18,3483.21,4796.96,4416.64,4352.82,,
Denmark,Liquid biofuels,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,6.22,2.78,1.17,1.42,0.00,,
Denmark,Biogas,Electricity generation (GWh),209.00,221.00,240.00,276.00,281.00,281.00,284.00,304.00,291.00,363.00,356.33,345.95,377.56,382.00,450.83,460.58,498.40,566.80,612.56,635.75,,
Denmark,Geothermal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Estonia,Total renewable energy,Electricity generation (GWh),18.00,18.00,30.00,49.00,60.00,111.00,129.80,145.61,197.36,541.63,1043.97,1179.87,1476.92,1220.94,1391.77,1565.55,1587.68,1858.52,1988.80,2142.52,,
Estonia,Hydropower,Electricity generation (GWh),5.00,7.00,6.00,13.00,22.00,22.00,13.50,21.82,27.91,31.99,26.88,30.03,42.06,25.53,27.03,26.60,35.00,26.00,15.00,19.00,,
Estonia,Renewable hydropower,Electricity generation (GWh),5.00,7.00,6.00,13.00,22.00,22.00,13.50,21.82,27.91,31.99,26.88,30.03,42.06,25.53,27.03,26.60,35.00,26.00,15.00,19.00,,
Estonia,Pumped storage,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Estonia,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Estonia,Wind,Electricity generation (GWh),0.00,0.00,1.00,6.00,8.00,54.00,76.30,90.78,133.45,195.55,276.99,368.66,433.52,529.04,603.68,715.00,594.00,723.00,636.00,687.00,,
Estonia,Onshore wind energy,Electricity generation (GWh),0.00,0.00,1.00,6.00,8.00,54.00,76.30,90.78,133.45,195.55,276.99,368.66,433.52,529.04,603.68,715.00,594.00,723.00,636.00,687.00,,
Estonia,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Estonia,Solar,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.35,1.37,3.06,5.95,9.68,14.49,30.80,73.50,,
